"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
17,0.405465108108164,0.385262400790645,1.5,1.47,"13","1","SS13-425407",2004,0.8
18,0.385262400790645,0.576613364303994,1.47,1.78,"13","1","SS13-425407",2005,0.82
19,0.576613364303994,-1.6094379124341,1.78,0.2,"13","1","SS13-425407",2006,0.941
20,-1.6094379124341,-0.186329578191493,0.2,0.83,"13","1","SS13-425407",2007,0.97
21,-0.186329578191493,-0.400477566597125,0.83,0.67,"13","1","SS13-425407",2008,1
22,-0.400477566597125,NA,0.67,NA,"13","0","SS13-425407",2009,NA
21,NA,-0.867500567704723,NA,0.42,"13","1","SS13-425469",2008,0.3
22,-0.867500567704723,NA,0.42,NA,"13","0","SS13-425469",2009,NA
21,NA,-0.82098055206983,NA,0.44,"13","1","SS13-425476",2008,0.2
22,-0.82098055206983,NA,0.44,NA,"13","1","SS13-425476",2009,0
23,NA,NA,NA,NA,"13","0","SS13-425476",2010,NA
16,NA,-0.776528789498996,NA,0.46,"13","1","SS13-450171",2003,0.25
17,-0.776528789498996,NA,0.46,NA,"13","0","SS13-450171",2004,NA
16,NA,-0.0512932943875506,NA,0.95,"13","1","SS13-450225",2003,1.28
17,-0.0512932943875506,NA,0.95,NA,"13","0","SS13-450225",2004,NA
16,NA,1.10194007876078,NA,3.01,"13","1","SS13-450546",2003,0.89
17,1.10194007876078,NA,3.01,NA,"13","0","SS13-450546",2004,NA
1,NA,0.254642218373581,NA,1.29,"14","1","SS14-418461",2003,1.44
2,0.254642218373581,0.993251773010283,1.29,2.7,"14","1","SS14-418461",2004,2.09
3,0.993251773010283,0.993251773010283,2.7,2.7,"14","1","SS14-418461",2005,2.7
4,0.993251773010283,1.07840958135059,2.7,2.94,"14","1","SS14-418461",2006,2.651
5,1.07840958135059,1.15688119679209,2.94,3.18,"14","1","SS14-418461",2007,3.33
6,1.15688119679209,1.25276296849537,3.18,3.5,"14","1","SS14-418461",2008,3.5
