UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS06-441254,2015,6,18,30,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-441254,2016,6,18,30,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-415453,2016,6,18,31,2,3,32,<1,X198,Mimosa eurycarpa,0.66,4.88,1,0.41,0.32,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.32,0.002513274122872,25.1327412287183,0.080424771931899,32,,,,
SS06-415460,2016,6,18,31,2,3,32,<1,X199,Mimosa eurycarpa,0.67,4.82,1,0.3,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.001533980787886,15.3398078788564,0.049087385212341,32,,,,
SS06-415385,2016,6,18,31,2,4,32,<1,X191,Mimosa eurycarpa,3.1,11.56,1,0.3,0.16,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,0.000628318530718,6.28318530717959,0.020106192982975,32,,,,
SS06-415392,2016,6,18,31,2,4,32,<1,X192,Mimosa eurycarpa,3.04,11.63,1,0.35,0.17,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.17,0.000709312716318,7.09312716318321,0.022698006922186,32,,,,
SS06-415415,2016,6,18,31,2,4,32,<1,X194,Mimosa eurycarpa,3.1,10.6,1,0.44,0.15,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.15,0.000552233083639,5.52233083638831,0.017671458676443,32,,,,
SS06-415422,2016,6,18,31,2,4,32,<1,X195,Mimosa eurycarpa,4.02,11.07,1,0.35,0.16,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,0.000628318530718,6.28318530717959,0.020106192982975,32,,,,
SS07-453790,2003,7,11,11,1,1,32,<1,23,Mimosa eurycarpa,0.55,11.5,1,1.3,1.83,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.83,0.082194372168804,821.943721688036,2.63021990940171,32,,S,T,"c/ ramas altas muertas +/- 2,3m"
SS07-453790,2005,7,11,13,1,1,32,<1,23,Mimosa eurycarpa,0.55,11.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,S,T,mto
SS07-453790,2008,7,11,16,1,1,32,<1,23,Mimosa eurycarpa,0.55,11.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS07-453790,2009,7,11,17,1,1,32,<1,23,Mimosa eurycarpa,0.55,11.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
